date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:28:26	212/212	---M--	403	error ('Forbidden')	text/html	date:Fri,%2011%20Oct%202024%2013:28:26%20GMT	http://www.vijaymukhi.com/robots.txt		(from )
13:28:27	1085/1085	---M-Z	200	added ('OK')	text/html	etag:%2243d-380a641437b80-gzip%22	http://www.vijaymukhi.com/	sub/www.vijaymukhi.com/index.html	(from )
13:28:28	917/917	---M-Z	200	added ('OK')	text/html	etag:%22395-380a672ea0dc0-gzip%22	http://www.vijaymukhi.com/heading.html	sub/www.vijaymukhi.com/heading.html	(from http://www.vijaymukhi.com/)
13:28:30	43488/43488	---M-Z	200	added ('OK')	text/html	etag:%22a9e0-454b5209fcd00-gzip%22	http://www.vijaymukhi.com/code.html	sub/www.vijaymukhi.com/code.html	(from http://www.vijaymukhi.com/)
13:28:30	257/257	---M-Z	200	added ('OK')	text/html	etag:%22101-380a640ba2740-gzip%22	http://www.vijaymukhi.com/menu_empty.html	sub/www.vijaymukhi.com/menu_empty.html	(from http://www.vijaymukhi.com/)
13:28:31	9274/9274	---M-Z	200	added ('OK')	text/html	etag:%22243a-454b55cf1b200-gzip%22	http://www.vijaymukhi.com/main.html	sub/www.vijaymukhi.com/main.html	(from http://www.vijaymukhi.com/)
13:28:32	139/139	---M--	200	added ('OK')	text/css	etag:%228b-37ca03d2b6e40%22	http://www.vijaymukhi.com/style.css	sub/www.vijaymukhi.com/style.css	(from http://www.vijaymukhi.com/heading.html)
13:28:33	381/381	---M--	200	added ('OK')	image/jpeg	etag:%2217d-380a64b46f580%22	http://www.vijaymukhi.com/menu-images/grad.jpg	sub/www.vijaymukhi.com/menu-images/grad.jpg	(from http://www.vijaymukhi.com/heading.html)
13:28:34	18817/18817	---M--	200	added ('OK')	image/jpeg	etag:%224981-380a669422140%22	http://www.vijaymukhi.com/pics/banner.jpg	sub/www.vijaymukhi.com/pics/banner.jpg	(from http://www.vijaymukhi.com/heading.html)
13:28:35	225/225	---M--	403	error ('Forbidden')	text/html	date:Fri,%2011%20Oct%202024%2013:28:35%20GMT	http://www.vijaymukhi.com/code_files/filelist.xml	sub/www.vijaymukhi.com/code_files/filelist.xml	(from http://www.vijaymukhi.com/code.html)
13:28:36	17608/17608	---M--	200	added ('OK')	application/javascript	etag:%2244c8-37ca03c92d7c0%22	http://www.vijaymukhi.com/mtmcode.js	sub/www.vijaymukhi.com/mtmcode.js	(from http://www.vijaymukhi.com/code.html)
13:28:37	214/214	---M--	403	error ('Forbidden')	text/html	date:Fri,%2011%20Oct%202024%2013:28:37%20GMT	http://www.vijaymukhi.com/sidebdr2.gif	sub/www.vijaymukhi.com/sidebdr2.gif	(from http://www.vijaymukhi.com/code.html)
13:28:38	7048/7048	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2013:28:38%20GMT	http://www.vijaymukhi.com/menu-images/	sub/www.vijaymukhi.com/menu-images/index.html	(from http://www.vijaymukhi.com/code.html)
13:28:38	219/219	---M--	403	error ('Forbidden')	text/html	date:Fri,%2011%20Oct%202024%2013:28:38%20GMT	http://www.vijaymukhi.com/menu_new_root.gif	sub/www.vijaymukhi.com/menu_new_root.gif	(from http://www.vijaymukhi.com/code.html)
13:28:39	216/216	---M--	403	error ('Forbidden')	text/html	date:Fri,%2011%20Oct%202024%2013:28:39%20GMT	http://www.vijaymukhi.com/style/menu.css	sub/www.vijaymukhi.com/style/menu.css	(from http://www.vijaymukhi.com/code.html)
13:28:40	224/224	---M--	403	error ('Forbidden')	text/html	date:Fri,%2011%20Oct%202024%2013:28:40%20GMT	http://www.vijaymukhi.com/menu_link_external.gif	sub/www.vijaymukhi.com/menu_link_external.gif	(from http://www.vijaymukhi.com/code.html)
13:28:41	219/219	---M--	403	error ('Forbidden')	text/html	date:Fri,%2011%20Oct%202024%2013:28:41%20GMT	http://www.vijaymukhi.com/menu_link_pdf.gif	sub/www.vijaymukhi.com/menu_link_pdf.gif	(from http://www.vijaymukhi.com/code.html)
13:28:42	15921/15921	---M-Z	200	added ('OK')	text/html	etag:%223e31-445ef55461840-gzip%22	http://www.vijaymukhi.com/books.html	sub/www.vijaymukhi.com/books.html	(from http://www.vijaymukhi.com/code.html)
13:28:43	3366/3366	---M-Z	200	added ('OK')	text/html	etag:%22d26-37ca03d687740-gzip%22	http://www.vijaymukhi.com/tutorial.html	sub/www.vijaymukhi.com/tutorial.html	(from http://www.vijaymukhi.com/code.html)
13:28:44	2233/2233	---M-Z	200	added ('OK')	text/html	etag:%228b9-380a6409ba2c0-gzip%22	http://www.vijaymukhi.com/online.html	sub/www.vijaymukhi.com/online.html	(from http://www.vijaymukhi.com/code.html)
13:28:45	2287/2287	---M-Z	200	added ('OK')	text/html	etag:%228ef-41848f95a4fc0-gzip%22	http://www.vijaymukhi.com/projects.html	sub/www.vijaymukhi.com/projects.html	(from http://www.vijaymukhi.com/code.html)
13:28:46	7828/7828	---M-Z	200	added ('OK')	text/html	etag:%221e94-3e6f1ffaa7540-gzip%22	http://www.vijaymukhi.com/documents/updatedbooks/updatedbooks.htm	sub/www.vijaymukhi.com/documents/updatedbooks/updatedbooks.html	(from http://www.vijaymukhi.com/code.html)
13:28:47	26232/26232	---M-Z	200	added ('OK')	text/html	etag:%226678-40f2ef8725f80-gzip%22	http://www.vijaymukhi.com/security.htm	sub/www.vijaymukhi.com/security.html	(from http://www.vijaymukhi.com/code.html)
13:28:48	6354/6354	---M-Z	200	added ('OK')	text/html	etag:%2218d2-3e93a853eeac0-gzip%22	http://www.vijaymukhi.com/corptrng.html	sub/www.vijaymukhi.com/corptrng.html	(from http://www.vijaymukhi.com/code.html)
13:28:51	1123/1123	---M-Z	200	added ('OK')	text/html	etag:%22463-380694021a480-gzip%22	http://www.vijaymukhi.com/documents/books/csbasics/csharp1.html	sub/www.vijaymukhi.com/documents/books/csbasics/csharp1.html	(from http://www.vijaymukhi.com/code.html)
13:28:52	1121/1121	---M-Z	200	added ('OK')	text/html	etag:%22461-39a07678eeac0-gzip%22	http://www.vijaymukhi.com/documents/books/csadv/csharp2.html	sub/www.vijaymukhi.com/documents/books/csadv/csharp2.html	(from http://www.vijaymukhi.com/code.html)
13:28:53	1121/1121	---M-Z	200	added ('OK')	text/html	etag:%22461-39a07b1f1e2c0-gzip%22	http://www.vijaymukhi.com/documents/books/ilbook/ilbook.html	sub/www.vijaymukhi.com/documents/books/ilbook/ilbook.html	(from http://www.vijaymukhi.com/code.html)
13:28:54	1108/1108	---M-Z	200	added ('OK')	text/html	etag:%22454-39a07d5876200-gzip%22	http://www.vijaymukhi.com/documents/books/aspnet1/aspnet.html	sub/www.vijaymukhi.com/documents/books/aspnet1/aspnet.html	(from http://www.vijaymukhi.com/code.html)
13:28:55	2588/2588	---M-Z	200	added ('OK')	text/html	etag:%22a1c-392299d269d80-gzip%22	http://www.vijaymukhi.com/documents/books/csclasses/csclasses.htm	sub/www.vijaymukhi.com/documents/books/csclasses/csclasses.html	(from http://www.vijaymukhi.com/code.html)
13:28:56	2583/2583	---M-Z	200	added ('OK')	text/html	etag:%22a17-3932d8d813ac0-gzip%22	http://www.vijaymukhi.com/documents/books/vsnet/vsnet.htm	sub/www.vijaymukhi.com/documents/books/vsnet/vsnet.html	(from http://www.vijaymukhi.com/code.html)
13:28:57	97280/97280	---M--	200	added ('OK')	application/msword	etag:%2217c00-4015a18e221c0%22	http://www.vijaymukhi.com/obsamend.doc	sub/www.vijaymukhi.com/obsamend.doc	(from http://www.vijaymukhi.com/code.html)
13:28:57	2586/2586	---M-Z	200	added ('OK')	text/html	etag:%22a1a-398ad8b4d6000-gzip%22	http://www.vijaymukhi.com/documents/books/xmlsoap/xmlsoap.htm	sub/www.vijaymukhi.com/documents/books/xmlsoap/xmlsoap.html	(from http://www.vijaymukhi.com/code.html)
13:28:57	2587/2587	---M-Z	200	added ('OK')	text/html	etag:%22a1b-3a12cc04c70c0-gzip%22	http://www.vijaymukhi.com/documents/books/vbnet/vbnet.htm	sub/www.vijaymukhi.com/documents/books/vbnet/vbnet.html	(from http://www.vijaymukhi.com/code.html)
13:28:58	2587/2587	---M-Z	200	added ('OK')	text/html	etag:%22a1b-3a13cda237b00-gzip%22	http://www.vijaymukhi.com/documents/books/metadata/metadata.htm	sub/www.vijaymukhi.com/documents/books/metadata/metadata.html	(from http://www.vijaymukhi.com/code.html)
13:28:59	3556/3556	---M-Z	200	added ('OK')	text/html	etag:%22de4-3b9e3506a7200-gzip%22	http://www.vijaymukhi.com/documents/books/xsd/xsd.htm	sub/www.vijaymukhi.com/documents/books/xsd/xsd.html	(from http://www.vijaymukhi.com/code.html)
13:29:00	3604/3604	---M-Z	200	added ('OK')	text/html	etag:%22e14-3b969f6981a80-gzip%22	http://www.vijaymukhi.com/documents/books/vs2net/vs2net.htm	sub/www.vijaymukhi.com/documents/books/vs2net/vs2net.html	(from http://www.vijaymukhi.com/code.html)
13:29:03	113739/113739	---M-Z	200	added ('OK')	text/html	etag:%221bc4b-3b97d0d38aa80-gzip%22	http://www.vijaymukhi.com/documents/books/j2me/j2me.htm	sub/www.vijaymukhi.com/documents/books/j2me/j2me.html	(from http://www.vijaymukhi.com/code.html)
13:29:04	1101/1101	---M-Z	200	added ('OK')	text/html	etag:%2244d-37ca06679c580-gzip%22	http://www.vijaymukhi.com/documents/books/javajsp/javajsp.html	sub/www.vijaymukhi.com/documents/books/javajsp/javajsp.html	(from http://www.vijaymukhi.com/code.html)
13:29:05	1126/1126	---M-Z	200	added ('OK')	text/html	etag:%22466-380a62150c580-gzip%22	http://www.vijaymukhi.com/documents/books/wap/wap.html	sub/www.vijaymukhi.com/documents/books/wap/wap.html	(from http://www.vijaymukhi.com/code.html)
13:29:07	1037614/1037614	---MCZ	200	added ('OK')	text/html	etag:%22fd52e-3ca6b859b7080-gzip%22	http://www.vijaymukhi.com/documents/books/ildasm/ildasm.htm	sub/www.vijaymukhi.com/documents/books/ildasm/ildasm.html	(from http://www.vijaymukhi.com/code.html)
13:29:07	44753/44753	---M-Z	200	added ('OK')	text/html	etag:%22aed1-37ca070403680-gzip%22	http://www.vijaymukhi.com/documents/books/ocx/final1.html	sub/www.vijaymukhi.com/documents/books/ocx/final1.html	(from http://www.vijaymukhi.com/code.html)
13:29:07	2160/2160	---M-Z	200	added ('OK')	text/html	etag:%22870-37ca06d26c180-gzip%22	http://www.vijaymukhi.com/documents/books/linux/linux.html	sub/www.vijaymukhi.com/documents/books/linux/linux.html	(from http://www.vijaymukhi.com/code.html)
13:29:08	1130/1130	---M-Z	200	added ('OK')	text/html	etag:%2246a-380a62c392140-gzip%22	http://www.vijaymukhi.com/documents/books/surfsup/surfsup.html	sub/www.vijaymukhi.com/documents/books/surfsup/surfsup.html	(from http://www.vijaymukhi.com/code.html)
13:29:09	4227/4227	---M-Z	200	added ('OK')	text/html	etag:%221083-37c516c38f800-gzip%22	http://www.vijaymukhi.com/pbook.htm	sub/www.vijaymukhi.com/pbook.html	(from http://www.vijaymukhi.com/code.html)
13:29:10	9693/9693	---M-Z	200	added ('OK')	text/html	etag:%2225dd-38ef2af280f80-gzip%22	http://www.vijaymukhi.com/documents/books/csbasics/contents.htm	sub/www.vijaymukhi.com/documents/books/csbasics/contents.html	(from http://www.vijaymukhi.com/code.html)
13:29:11	18219/18219	---M-Z	200	added ('OK')	text/html	etag:%22472b-3ea12bdfe4300-gzip%22	http://www.vijaymukhi.com/documents/books/csbasics/intro.htm	sub/www.vijaymukhi.com/documents/books/csbasics/intro.html	(from http://www.vijaymukhi.com/code.html)
13:29:12	4897/4897	---M-Z	200	added ('OK')	text/html	etag:%221321-38ef2aebd3fc0-gzip%22	http://www.vijaymukhi.com/documents/books/csbasics/authors.htm	sub/www.vijaymukhi.com/documents/books/csbasics/authors.html	(from http://www.vijaymukhi.com/code.html)
13:29:13	121412/121412	---M-Z	200	added ('OK')	text/html	etag:%221da44-38ef28920f400-gzip%22	http://www.vijaymukhi.com/documents/books/csbasics/chap1.htm	sub/www.vijaymukhi.com/documents/books/csbasics/chap1.html	(from http://www.vijaymukhi.com/code.html)
13:29:14	40841/40841	---M-Z	200	added ('OK')	text/html	etag:%229f89-38ef2966ba9c0-gzip%22	http://www.vijaymukhi.com/documents/books/csbasics/chap2.htm	sub/www.vijaymukhi.com/documents/books/csbasics/chap2.html	(from http://www.vijaymukhi.com/code.html)
13:29:15	94083/94083	---M-Z	200	added ('OK')	text/html	etag:%2216f83-38ef2975fcdc0-gzip%22	http://www.vijaymukhi.com/documents/books/csbasics/chap3.htm	sub/www.vijaymukhi.com/documents/books/csbasics/chap3.html	(from http://www.vijaymukhi.com/code.html)
13:29:16	81419/81419	---M-Z	200	added ('OK')	text/html	etag:%2213e0b-38ef29844af80-gzip%22	http://www.vijaymukhi.com/documents/books/csbasics/chap4.htm	sub/www.vijaymukhi.com/documents/books/csbasics/chap4.html	(from http://www.vijaymukhi.com/code.html)
13:29:18	82408/82408	---M-Z	200	added ('OK')	text/html	etag:%22141e8-38ef299299140-gzip%22	http://www.vijaymukhi.com/documents/books/csbasics/chap5.htm	sub/www.vijaymukhi.com/documents/books/csbasics/chap5.html	(from http://www.vijaymukhi.com/code.html)
13:29:18	41036/41036	---M-Z	200	added ('OK')	text/html	etag:%22a04c-38ef2aa81e000-gzip%22	http://www.vijaymukhi.com/documents/books/csbasics/chap6.htm	sub/www.vijaymukhi.com/documents/books/csbasics/chap6.html	(from http://www.vijaymukhi.com/code.html)
13:29:19	72859/72859	---M-Z	200	added ('OK')	text/html	etag:%2211c9b-38ef2ab483d40-gzip%22	http://www.vijaymukhi.com/documents/books/csbasics/chap7.htm	sub/www.vijaymukhi.com/documents/books/csbasics/chap7.html	(from http://www.vijaymukhi.com/code.html)
13:29:20	71362/71362	---M-Z	200	added ('OK')	text/html	etag:%22116c2-38ef2abff5840-gzip%22	http://www.vijaymukhi.com/documents/books/csbasics/chap8.htm	sub/www.vijaymukhi.com/documents/books/csbasics/chap8.html	(from http://www.vijaymukhi.com/code.html)
13:29:21	69665/69665	---M-Z	200	added ('OK')	text/html	etag:%2211021-38ef2acc5b580-gzip%22	http://www.vijaymukhi.com/documents/books/csbasics/chap9.htm	sub/www.vijaymukhi.com/documents/books/csbasics/chap9.html	(from http://www.vijaymukhi.com/code.html)
13:29:22	54652/54652	---M-Z	200	added ('OK')	text/html	etag:%22d57c-38ef2a6468040-gzip%22	http://www.vijaymukhi.com/documents/books/csbasics/chap10.htm	sub/www.vijaymukhi.com/documents/books/csbasics/chap10.html	(from http://www.vijaymukhi.com/code.html)
13:29:23	138818/138818	---M-Z	200	added ('OK')	text/html	etag:%2221e42-38ef2a777ad40-gzip%22	http://www.vijaymukhi.com/documents/books/csbasics/chap11.htm	sub/www.vijaymukhi.com/documents/books/csbasics/chap11.html	(from http://www.vijaymukhi.com/code.html)
13:29:24	55197/55197	---M-Z	200	added ('OK')	text/html	etag:%22d79d-38ef2a81043c0-gzip%22	http://www.vijaymukhi.com/documents/books/csbasics/chap12.htm	sub/www.vijaymukhi.com/documents/books/csbasics/chap12.html	(from http://www.vijaymukhi.com/code.html)
13:29:25	21277/21277	---M-Z	200	added ('OK')	text/html	etag:%22531d-38ef2a88a55c0-gzip%22	http://www.vijaymukhi.com/documents/books/csbasics/chap13.htm	sub/www.vijaymukhi.com/documents/books/csbasics/chap13.html	(from http://www.vijaymukhi.com/code.html)
13:29:26	58703/58703	---M-Z	200	added ('OK')	text/html	etag:%22e54f-38ef2a9322e80-gzip%22	http://www.vijaymukhi.com/documents/books/csbasics/chap14.htm	sub/www.vijaymukhi.com/documents/books/csbasics/chap14.html	(from http://www.vijaymukhi.com/code.html)
13:29:27	69309/69309	---M-Z	200	added ('OK')	text/html	etag:%2210ebd-38ef2a9f88bc0-gzip%22	http://www.vijaymukhi.com/documents/books/csbasics/chap15.htm	sub/www.vijaymukhi.com/documents/books/csbasics/chap15.html	(from http://www.vijaymukhi.com/code.html)
13:29:28	5315/5315	---M-Z	200	added ('OK')	text/html	etag:%2214c3-3976a62cc0f80-gzip%22	http://www.vijaymukhi.com/documents/books/csadv/authors.htm	sub/www.vijaymukhi.com/documents/books/csadv/authors.html	(from http://www.vijaymukhi.com/code.html)
13:29:29	11809/11809	---M-Z	200	added ('OK')	text/html	etag:%222e21-3976a834819c0-gzip%22	http://www.vijaymukhi.com/documents/books/csadv/intro.htm	sub/www.vijaymukhi.com/documents/books/csadv/intro.html	(from http://www.vijaymukhi.com/code.html)
13:29:30	146396/146396	---M-Z	200	added ('OK')	text/html	etag:%2223bdc-38ef2ca46cf40-gzip%22	http://www.vijaymukhi.com/documents/books/csadv/chap1.htm	sub/www.vijaymukhi.com/documents/books/csadv/chap1.html	(from http://www.vijaymukhi.com/code.html)
13:29:31	82562/82562	---M-Z	200	added ('OK')	text/html	etag:%2214282-38ef2d848a000-gzip%22	http://www.vijaymukhi.com/documents/books/csadv/chap2.htm	sub/www.vijaymukhi.com/documents/books/csadv/chap2.html	(from http://www.vijaymukhi.com/code.html)
13:29:32	41490/41490	---M-Z	200	added ('OK')	text/html	etag:%22a212-38ef2d7730080-gzip%22	http://www.vijaymukhi.com/documents/books/csadv/chap3.htm	sub/www.vijaymukhi.com/documents/books/csadv/chap3.html	(from http://www.vijaymukhi.com/code.html)
13:29:33	78089/78089	---M-Z	200	added ('OK')	text/html	etag:%2213109-38ef2d6e9ac40-gzip%22	http://www.vijaymukhi.com/documents/books/csadv/chap4.htm	sub/www.vijaymukhi.com/documents/books/csadv/chap4.html	(from http://www.vijaymukhi.com/code.html)
13:29:34	90899/90899	---M-Z	200	added ('OK')	text/html	etag:%2216313-38ef2d604ca80-gzip%22	http://www.vijaymukhi.com/documents/books/csadv/chap5.htm	sub/www.vijaymukhi.com/documents/books/csadv/chap5.html	(from http://www.vijaymukhi.com/code.html)
13:29:35	82191/82191	---M-Z	200	added ('OK')	text/html	etag:%221410f-38ef2d52f2b00-gzip%22	http://www.vijaymukhi.com/documents/books/csadv/chap6.htm	sub/www.vijaymukhi.com/documents/books/csadv/chap6.html	(from http://www.vijaymukhi.com/code.html)
